id,party,first_name,surname,region,first_pref,count
0,Lab,Ciarán,AHERN,DUBLIN SOUTH-WEST,8.7,11
1,FG,William,AIRD,LAOIS,24.2,5
2,FF,Catherine,ARDAGH,DUBLIN SOUTH-CENTRAL,10.7,14
3,Lab,Ivana,BACIK,DUBLIN BAY SOUTH,14.3,9
4,SF,Cathy,BENNETT,CAVAN-MONAGHAN,10.0,13
5,FG,Grace,BOLAND,DUBLIN FINGAL WEST,15.2,6
6,PBP,Richard,BOYD BARRETT,DÚN LAOGHAIRE,12.2,7
7,FF,Tom,BRABAZON,DUBLIN BAY NORTH,10.5,14
8,SF,John,BRADY,WICKLOW,14.8,11
9,FF,Shay,BRENNAN,DUBLIN RATHDOWN,12.1,10
10,FG,Brian,BRENNAN,WICKLOW-WEXFORD,23.1,6
11,FG,Colm,BROPHY,DUBLIN SOUTH-WEST,12.7,7
12,FF,James,BROWNE,WEXFORD,16.4,11
13,SF,Pat,BUCKLEY,CORK EAST,12.3,12
14,FG,Colm,BURKE,CORK NORTH-CENTRAL,9.7,14
15,FG,Peter,BURKE,LONGFORD-WESTMEATH,17.6,1
16,FF,Mary,BUTLER,WATERFORD,18.6,10
17,FG,Paula,BUTTERLY,LOUTH,8.9,20
18,FG,Jerry,BUTTIMER,CORK SOUTH-CENTRAL,7.0,18
19,FF,Thomas,BYRNE,MEATH EAST,12.8,13
20,FF,Malcolm,BYRNE,WICKLOW-WEXFORD,21.7,6
21,SF,Joanna,BYRNE,LOUTH,12.8,17
22,FF,Michael,CAHILL,KERRY,10.5,13
23,SD,Holly,CAIRNS,CORK SOUTH-WEST,19.9,10
24,FG,Catherine,CALLAGHAN,CARLOW-KILKENNY,9.7,14
25,FF,Dara,CALLEARY,MAYO,12.2,8
26,Ind,Seán,CANNEY,GALWAY EAST,18.5,6
27,FG,Micheál,CARRIGY,LONGFORD-WESTMEATH,11.5,15
28,FG,Jennifer,CARROLL MacNEILL,DÚN LAOGHAIRE,21.0,1
29,SF,Matt,CARTHY,CAVAN-MONAGHAN,13.5,12
30,FF,Naoise,Ó CEARÚIL,KILDARE NORTH,10.3,12
31,FF,Jack,CHAMBERS,DUBLIN WEST,21.4,1
32,SF,Sorca,CLARKE,LONGFORD-WESTMEATH,11.3,13
33,FF,Peter 'Chap',CLEERE,CARLOW-KILKENNY,10.3,15
34,FG,John,CLENDENNEN,OFFALY,17.6,7
35,FF,Niall,COLLINS,LIMERICK COUNTY,20.4,13
36,Ind,Michael,COLLINS,CORK SOUTH-WEST,23.3,8
37,FF,John,CONNOLLY,GALWAY WEST,11.9,14
38,Ind,Catherine,CONNOLLY,GALWAY WEST,11.2,11
39,SF,Rose,CONWAY-WALSH,MAYO,14.3,6
40,FG,Joe,COONEY,CLARE,12.4,16
41,PBP,Ruth,COPPINGER,DUBLIN WEST,8.0,13
42,SF,Réada,CRONIN,KILDARE NORTH,11.9,12
43,FF,Cathal,CROWE,CLARE,13.6,15
44,SF,Seán,CROWE,DUBLIN SOUTH-WEST,14.8,6
45,SF,David,CULLINANE,WATERFORD,22.2,1
46,FG,John,CUMMINS,WATERFORD,19.3,9
47,SD,Jen,CUMMINS,DUBLIN SOUTH-CENTRAL,9.0,15
48,FG,Emer,CURRIE,DUBLIN WEST,15.4,2
49,SF,Conor,D. McGUINNESS,WATERFORD,10.8,12
50,FF,Martin,DALY,ROSCOMMON-GALWAY,17.7,7
51,SF,Pa,DALY,KERRY,14.8,7
52,FF,Aisling,DEMPSEY,MEATH WEST,17.3,5
53,SF,Máire,DEVINE,DUBLIN SOUTH-CENTRAL,10.3,15
54,FF,Cormac,DEVLIN,DÚN LAOGHAIRE,15.9,7
55,FG,Alan,DILLON,MAYO,13.4,8
56,SF,Pearse,DOHERTY,DONEGAL,24.7,1
57,FF,Albert,DOLAN,GALWAY EAST,18.7,8
58,SF,Paul,DONNELLY,DUBLIN WEST,17.5,1
59,FG,Paschal,DONOHOE,DUBLIN CENTRAL,16.8,10
60,FF,Timmy,DOOLEY,CLARE,18.6,13
61,SF,Dessie,ELLIS,DUBLIN NORTH-WEST,17.0,9
62,SF,Mairéad,FARRELL,GALWAY WEST,13.5,11
63,SD,Aidan,FARRELLY,KILDARE NORTH,13.3,10
64,FG,Frank,FEIGHAN,SLIGO-LEITRIM,15.8,11
65,Ind,Michael,FITZMAURICE,ROSCOMMON-GALWAY,29.2,1
66,FF,Seán,FLEMING,LAOIS,21.2,8
67,FF,Norma,FOLEY,KERRY,13.1,13
68,FF,Pat The Cope,GALLAGHER,DONEGAL,13.1,15
69,SD,Gary,GANNON,DUBLIN CENTRAL,13.3,8
70,FG,James,GEOGHEGAN,DUBLIN BAY SOUTH,15.2,9
71,SD,Sinéad,GIBNEY,DUBLIN RATHDOWN,8.8,10
72,Ind,Paul Nicholas,GOGARTY,DUBLIN MID-WEST,7.7,13
73,SF,Thomas,GOULD,CORK NORTH-CENTRAL,12.5,10
74,SF,Ann,GRAVES,DUBLIN FINGAL EAST,14.4,11
75,Ind,Noel,GREALISH,GALWAY WEST,11.4,16
76,SF,Johnny,GUIRKE,MEATH WEST,22.8,3
77,Ind,Marian,HARKIN,SLIGO-LEITRIM,7.6,13
78,FG,Simon,HARRIS,WICKLOW,29.6,1
79,SD,Eoin,HAYES,DUBLIN BAY SOUTH,9.1,12
80,Ind,Séamus,HEALY,TIPPERARY SOUTH,11.7,6
81,Ind,Michael,HEALY-RAE,KERRY,23.7,1
82,Ind,Danny,HEALY-RAE,KERRY,11.0,11
83,SD,Rory,HEARNE,DUBLIN NORTH-WEST,14.1,9
84,Ind,Barry,HENEGHAN,DUBLIN BAY NORTH,5.5,14
85,FG,Martin,HEYDON,KILDARE SOUTH,21.6,11
86,FG,Emer,HIGGINS,DUBLIN MID-WEST,10.1,12
87,Lab,Alan,KELLY,TIPPERARY NORTH,15.5,10
88,SF,Martin,KENNY,SLIGO-LEITRIM,13.6,12
89,Lab,Eoghan,KENNY,CORK NORTH-CENTRAL,5.6,17
90,FG,Keira,KEOGH,MAYO,8.2,11
91,SF,Claire,KERRANE,ROSCOMMON-GALWAY,19.5,7
92,FF,John,LAHART,DUBLIN SOUTH-WEST,12.4,10
93,FF,James,LAWLESS,KILDARE NORTH,15.3,8
94,Aon,Paul,LAWLESS,MAYO,6.3,11
95,Lab,George,LAWLOR,WEXFORD,13.8,11
96,Ind,Michael,LOWRY,TIPPERARY NORTH,27.4,1
97,SF,Pádraig,MacLOCHLAINN,DONEGAL,12.8,2
98,FF,Micheál,MARTIN,CORK SOUTH-CENTRAL,23.2,1
99,FG,David,MAXWELL,CAVAN-MONAGHAN,9.0,10
100,FF,Paul,McAULIFFE,DUBLIN NORTH-WEST,13.6,9
101,FG,Noel,McCARTHY,CORK EAST,11.2,12
102,FF,Charlie,McCONALOGUE,DONEGAL,10.5,16
103,FF,Tony,McCORMACK,OFFALY,17.0,7
104,SF,Mary Lou,McDONALD,DUBLIN CENTRAL,19.5,3
105,FG,Helen,McENTEE,MEATH EAST,19.9,5
106,SF,Donna,McGETTIGAN,CLARE,12.9,16
107,FF,Séamus,McGRATH,CORK SOUTH-CENTRAL,12.4,10
108,Ind,Mattie,McGRATH,TIPPERARY SOUTH,24.4,2
109,FF,Erin,McGREEHAN,LOUTH,9.1,20
110,FF,John,MCGUINNESS,CARLOW-KILKENNY,14.0,11
111,SF,Denise,MITCHELL,DUBLIN BAY NORTH,13.7,11
112,Ind,Kevin Boxer,MORAN,LONGFORD-WESTMEATH,13.0,14
113,FF,Aindrias,MOYNIHAN,CORK NORTH-WEST,18.8,6
114,FF,Michael,MOYNIHAN,CORK NORTH-WEST,17.9,6
115,FF,Shane,MOYNIHAN,DUBLIN MID-WEST,10.0,13
116,FF,Jennifer,MURNANE O'CONNOR,CARLOW-KILKENNY,11.6,16
117,FG,Michael,MURPHY,TIPPERARY SOUTH,20.4,6
118,PBP,Paul,MURPHY,DUBLIN SOUTH-WEST,7.6,11
119,Ind,Verona,MURPHY,WEXFORD,21.6,1
120,SF,Johnny,MYTHEN,WEXFORD,14.5,11
121,Lab,Ged,NASH,LOUTH,11.9,20
122,FG,Hildegarde,NAUGHTON,GALWAY WEST,10.0,14
123,FG,Joe,NEVILLE,KILDARE NORTH,9.7,12
124,SF,Natasha,NEWSOME DRENNAN,CARLOW-KILKENNY,7.9,16
125,SF,Shónagh,Ní RAGHALLAIGH,KILDARE SOUTH,16.9,12
126,Ind,Carol,NOLAN,OFFALY,22.2,5
127,SF,Eoin,Ó BROIN,DUBLIN MID-WEST,20.8,1
128,FF,Seán,Ó FEARGHAÍL,KILDARE SOUTH,Automatic,0
129,SF,Donnchadh,Ó LAOGHAIRE,CORK SOUTH-CENTRAL,11.1,16
130,FG,Naoise,Ó MUIRÍ,DUBLIN BAY NORTH,9.1,14
131,SF,Ruairí,Ó MURCHÚ,LOUTH,13.7,16
132,SF,Aengus,Ó SNODAIGH,DUBLIN SOUTH-CENTRAL,12.0,15
133,FF,Darragh,O'BRIEN,DUBLIN FINGAL EAST,23.5,7
134,FF,Jim,O'CALLAGHAN,DUBLIN BAY SOUTH,13.9,10
135,SD,Cian,O'CALLAGHAN,DUBLIN BAY NORTH,14.9,8
136,FG,Maeve,O'CONNELL,DUBLIN RATHDOWN,13.1,10
137,FF,James,O'CONNOR,CORK EAST,12.3,10
138,FF,Willie,O'DEA,LIMERICK CITY,19.5,6
139,FG,Kieran,O'DONNELL,LIMERICK CITY,14.5,10
140,Lab,Robert,O'DONOGHUE,DUBLIN FINGAL WEST,16.7,6
141,Ind,Richard,O'DONOGHUE,LIMERICK COUNTY,23.1,9
142,FG,Patrick,O'DONOVAN,LIMERICK COUNTY,25.4,1
143,Ind,Ken,O'FLYNN,CORK NORTH-CENTRAL,9.7,14
144,Gre,Roderic,O'GORMAN,DUBLIN WEST,6.6,13
145,SF,Louis,O'HARA,GALWAY EAST,13.8,11
146,FF,Ryan,O'MEARA,TIPPERARY NORTH,12.4,10
147,SF,Louise,O'REILLY,DUBLIN FINGAL WEST,23.1,4
148,SF,Darren,O'ROURKE,MEATH EAST,16.4,10
149,FG,John Paul,O'SHEA,CORK NORTH-WEST,17.7,6
150,FF,Pádraig,O'SULLIVAN,CORK NORTH-CENTRAL,13.0,12
151,FF,Christopher,O'SULLIVAN,CORK SOUTH-WEST,19.3,11
152,SD,Liam,QUAIDE,CORK EAST,10.0,12
153,SF,Maurice,QUINLIVAN,LIMERICK CITY,14.1,13
154,SD,Pádraig,RICE,CORK SOUTH-CENTRAL,8.6,18
155,FG,Neale,RICHMOND,DUBLIN RATHDOWN,20.6,1
156,FG,Peter,ROCHE,GALWAY EAST,10.2,11
157,FF,Eamon,SCANLON,SLIGO-LEITRIM,10.4,13
158,Lab,Conor,SHEEHAN,LIMERICK CITY,6.5,15
159,Lab,Marie,SHERLOCK,DUBLIN CENTRAL,7.5,11
160,FF,Brendan,SMITH,CAVAN-MONAGHAN,9.6,14
161,Lab,Duncan,SMITH,DUBLIN FINGAL EAST,14.2,11
162,FF,Niamh,SMYTH,CAVAN-MONAGHAN,8.4,14
163,Ind,Brian,STANLEY,LAOIS,17.7,8
164,SF,Fionntán,Ó SÚILLEABHÁIN,WICKLOW-WEXFORD,20.2,6
165,FG,Edward,TIMMINS,WICKLOW,5.3,13
166,Aon,Peadar,TÓIBÍN,MEATH WEST,20.1,4
167,Ind,Gillian,TOOLE,MEATH EAST,8.9,13
168,FF,Robert,TROY,LONGFORD-WESTMEATH,13.1,15
169,Lab,Mark,WALL,KILDARE SOUTH,15.5,12
170,SF,Mark,WARD,DUBLIN MID-WEST,11.2,9
171,FG,Barry,WARD,DÚN LAOGHAIRE,15.0,7
172,Ind,Charles,WARD,DONEGAL,9.0,16
173,SD,Jennifer,WHITMORE,WICKLOW,5.3,9
